	老医生立遗嘱将财产留给救过自己的朋友	一半法国人不愿接种新冠疫苗	金晨拒绝陈一鸣	于朦胧练舞好像做颈椎复健操	有翡还原度	王一博好会哭	QQ或推出已读功能	明道工作室回应	安徽发现一批次国产鸡腿外包装阳性	糖水燕窝曝光者隐私遭辛选泄露	向太晒向佐郭碧婷豪宅内景	于正否认有儿子	王小岚否认自己是视频中的女生	明星大侦探演唱会阵容	国台办称绝不为台独分裂活动留空间	苹果计划将iPhone产量提升30％	兔子搓脸脸有多可爱	哥老官 兽药	胡一天乔欣亲出声	朱星杰承认与王岚恋情	我国超一半人感染幽门螺杆菌	金晨 不喜欢就是不喜欢	哈尔滨男子晨跑眉毛挂霜变鳌拜	王岚称另有男友	朴彩英给金智秀送咖啡车应援	国产千元机遭海外疯抢	港府官员宣誓效忠香港特区	尼格买提父母爱情太好哭了	核酸检测阳性旅客达5个暂停该航线2周	何炅为了张杰的票戒酒7天	QQ 怎么还当真了	奚梦瑶 烫头是冬天的仪式感	东北虎也扛不住哈尔滨的冷	唐艺昕圣诞热红酒vlog	能让羽绒服冬天滞销的城市	张云雷煮泡面的锅坏了	杨幂反派气场	韩国小朋友的汉语考试	huanfeng道歉	不奉陪	上万枚冷冻胚胎十年无人问津
99	0	0	0	0	728471	0	736080	0	990584	526224	0	0	0	0	0	0	1617024	2366155	967644	3089249	2156629	1517844	969328	1322207	0	0	1839085	825282	3105581	3538716	2624697	3073837	525567	1035171	751089	728466	672939	528177	0	0	0
100	0	0	0	0	540814	0	728980	0	954838	531725	0	0	0	0	0	0	1607236	2390285	949637	3099501	2266108	1482550	951100	1294373	0	0	1872088	816916	3322865	3560618	2633766	3086787	529250	1043834	757253	720820	691519	721943	0	0	0
101	0	0	0	0	534427	0	728969	0	958007	533582	0	0	0	0	0	0	1554479	2532254	931287	3120487	2093903	1454282	937010	1266394	0	0	2010267	808316	3165191	3560716	2643463	3103253	533515	1051625	763610	723867	710102	725512	0	0	0
102	0	0	0	0	0	0	755923	0	924084	535741	0	0	0	0	0	0	1501450	2538338	912549	3160321	2288118	1419522	756248	1235403	0	0	2019199	797990	3282574	3558139	2631705	3103962	533938	1054417	755844	727375	722138	538100	913673	0	0
103	0	0	0	0	524212	0	742786	0	954296	527662	0	0	0	0	0	0	1679239	2358966	893782	3124066	2321804	1394352	524459	1216040	0	0	1837958	790348	3158581	3579279	2640368	3123802	737407	1066612	749189	736881	737015	537448	918095	0	0
104	0	0	0	0	514339	0	613712	0	940889	520462	0	0	0	0	0	0	1566155	2435217	879053	3118063	2205079	1346959	0	1185895	0	0	1898746	770251	3193520	3562058	2626778	3110047	539023	1069423	735307	537564	535825	532657	889489	0	0
105	0	0	0	0	512346	0	565544	0	927310	513619	0	0	0	0	0	0	1495427	2371692	878543	3193375	2122921	1327026	0	1186936	0	0	1666069	546615	3342850	3608387	2669565	3156625	547353	1087804	733485	786379	545685	542034	901821	0	0
106	0	0	0	0	511311	0	582048	0	1098458	528852	0	0	0	0	0	0	1132548	2557051	873696	3250627	2047052	1288789	0	1191394	0	0	1714321	549936	3317929	3637013	2715807	3202515	550697	1095736	730351	812748	549836	548880	1459579	0	0
107	0	0	0	0	509041	0	598648	0	901649	520899	0	0	0	0	0	0	874929	2596196	870080	3254131	1346962	1288117	0	1189587	0	0	1973116	558654	3307293	3659256	2748587	3234949	553168	1098303	722913	840887	557452	558913	2170566	0	0
108	0	0	0	0	505882	0	579977	0	966266	515241	0	0	0	0	0	0	912312	2132284	883664	3277421	1394915	1280467	0	1198368	0	0	1949143	561308	3300010	3679632	2772152	3259342	556083	1100548	717951	870181	563474	569033	2672817	0	0
109	0	0	0	0	504234	0	613956	0	963203	525523	0	0	0	0	0	0	910531	2271421	888574	3337029	1284230	1278957	0	1202623	0	0	1683526	571002	3414000	3712770	2800685	3299757	555700	1104866	711793	863378	574335	581277	2556549	0	0
110	0	0	0	0	0	0	648359	0	935781	505547	0	0	0	0	0	0	909165	2071944	886811	3345439	1478967	1272243	0	1203114	0	0	1863387	580381	3396030	3700611	2798481	3300737	548882	1106159	710480	860137	582894	588249	2758426	504439	0
111	0	0	0	0	0	0	622460	0	939111	513149	0	0	0	0	0	0	896840	1241789	885660	3330532	1214850	1204997	0	1196676	0	0	1224715	584832	3384304	3693954	2805778	3299617	538430	1112971	717313	820050	586450	595526	1243227	507507	0
112	0	0	0	0	0	0	625682	0	900853	519940	0	0	0	0	0	0	892908	1267229	886607	3317603	1263511	1263469	0	1206516	0	0	1263802	562288	3328250	3712865	2835617	3314211	531826	1123950	737767	832147	590683	610185	1315654	516206	0
113	0	0	0	0	0	0	675544	0	907466	526116	0	0	0	0	0	0	892625	1318226	891502	3352629	1268620	1266066	0	1224413	0	0	1280453	567759	3463061	3751865	2867879	3350159	529243	1142995	767258	832984	606136	619069	1379093	525572	0
114	0	0	0	0	0	0	666243	0	1012277	529701	0	0	0	0	0	0	948439	1313902	889581	3369941	1248054	1240565	0	1233600	0	0	1277127	583117	3413363	3755089	2879042	3369023	521711	1161195	788131	861399	588622	621568	1433696	538809	0
115	0	0	0	0	0	0	652823	0	971990	533102	0	0	0	0	0	0	916569	1235203	876290	3356155	1231384	1189220	0	1230675	0	0	1232158	590411	3418783	3731394	2860783	3347704	0	1166338	797719	873367	598063	621086	1471166	548946	522234
116	0	0	0	0	509997	0	634163	0	990300	0	0	0	0	0	0	0	890543	1252442	865089	3328693	1229025	1157267	0	1228960	0	0	1233576	605803	3421316	3707790	2844023	3325007	0	1171081	803978	860575	618134	624747	1506339	554910	537423
117	0	0	0	0	0	0	714589	0	878069	0	0	0	0	0	0	0	862302	1372523	855337	3348799	1240857	1135431	0	1228440	0	0	1284288	594665	3418741	3696064	2845036	3315868	0	1177201	811208	847985	614763	633554	1546959	558271	550277
118	0	0	0	0	518997	0	698246	0	885113	0	0	0	0	0	0	0	871429	1261389	647003	3335040	1239216	1122522	0	1239086	0	0	1244817	640957	3374599	3704120	2847562	3313733	0	1194220	817139	839732	861560	647630	1626434	564628	566248
119	0	0	0	0	517867	0	652976	0	889633	0	0	0	0	0	0	0	881832	1341479	651840	3336032	1243730	1101076	0	1239931	0	0	1258551	639975	3447440	3687056	2812494	3255587	499463	1206194	815922	863708	874656	652581	1688541	561587	579191
120	0	0	0	0	516222	0	818398	0	849996	0	0	0	0	0	0	0	900549	1300041	764263	3317667	1252423	1088448	0	1250104	0	0	1255930	640298	3433680	3689110	2794826	3224181	0	1229189	814400	834588	891182	661967	1755030	564879	592281
121	0	0	0	0	515404	0	731804	0	517741	0	0	0	0	0	0	0	912539	1524267	663379	3180555	1255529	1079998	0	1254684	0	0	1349761	635391	3181758	3690422	2756296	3180520	0	1235341	812526	909136	909194	666215	1821239	566654	605051
