,每个人的身上都有苗苗,星巴克试用可重复使用杯子,男子在机场摆渡车上猥亵少女被拘,赵立坚说美方泼中国脏水是想转移视线,张彬彬问龚俊和曾舜晞是什么狗,马思纯不舍米佧,男子做核磁共振被忘在检查舱,鸭舍失火导致一万只活鸭变烤鸭,你是我的城池营垒全员剧透,美团崩了,利路修 从喜欢到恨只有一步,陈小纭回应怼网友,双胞胎学生过斑马线被撞一死一伤,魏大勋摘头套,别轻易尝试黄瓜减肥,Angelababy短发,速度与激情9确认引进,外交部向全球特别推介湖北,好利来称卷入西藏冒险王事件系谣言,刘诗诗生图,不做厚脸皮,好利来,被男友拍成了一只青蛙,陈卓璇评价张雨绮能力普通却自信,备孕者可以接种新冠疫苗,陈建斌蒋勤勤接吻,刘昊然 脉动品牌代言人,沙漠 有机 就是更好有机,视频制作人出道计划,周迅心里话,肖战 满汉大餐是什么,胡歌 9 90 900,杨紫撑起年轻,坦克硬闯潮流发布会,基金人滚雪球日常,来逛糖酒会我都走瘦了,王一博连续六年为汪涵庆生,日本大阪将取消奥运火炬传递活动,山河令演唱会批复,房产税
10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0.0,2.7070193010514387e-05,0.0973453933191819,1.19988888427349,0.8237567768065892,0.14420806410729603,0.290783056661587,0.6894119984108065,0.7467069991539064,0.8783033264590678,-0.0008210952021079354,0.8948633923724896,0.6912741796918302,0.570347481289291,0.5684800822181013,0.4834203318431196,0.5038330371885871,0.3350654739265091,0.002379703144174128,0.0028547876463598243,0.0,-0.20852604727523083,0.002106077364625092,0.00046207952081789294,0.025448164097708448,0.0003301940427804517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
15,0.0,-0.005652103297060229,-1.0,-0.54427151559782,-0.0026971924136490744,0.012292971475098335,-0.007105747648230798,0.016622652353315948,-0.00038959582612230204,0.031661260998263385,-0.22810862081653682,0.04060798451816616,0.010812670836205074,0.028010229857265534,0.007650130002829769,-0.008976675795806632,-0.0020334451319469204,-0.010927556607962075,1.0646626793409752,0.00833085003780476,0.0,-0.04637877533268098,0.0008167336062296915,0.006327661419567532,-0.4098021746011241,-0.00015190056623071158,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
